Order ID,Order Date,Ship Date,Ship Mode,Customer ID
CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520
CA-2017-138688,2017-06-12,2017-06-16,Second Class,DV-13045
US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710
CA-2018-114412,2018-04-15,2018-04-20,Standard Class,AA-10480
CA-2017-161389,2017-12-05,2017-12-10,Standard Class,IM-15070
US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815
CA-2015-105893,2015-11-11,2015-11-18,Standard Class,PK-19075
CA-2015-167164,2015-05-13,2015-05-15,Second Class,AG-10270
CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925
CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585
US-2018-156909,2018-07-16,2018-07-18,Second Class,SF-20065
CA-2016-106320,2016-09-25,2016-09-30,Standard Class,EB-13870
CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520
CA-2018-107727,2018-10-19,2018-10-23,Second Class,MA-17560
CA-2017-117590,2017-12-08,2017-12-10,First Class,GH-14485
CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710
CA-2018-120999,2018-09-10,2018-09-15,Standard Class,LC-16930
CA-2017-101343,2017-07-17,2017-07-22,Standard Class,RA-19885
CA-2018-139619,2018-09-19,2018-09-23,Standard Class,ES-14080
CA-2017-118255,2017-03-11,2017-03-13,First Class,ON-18715
CA-2015-146703,2015-10-20,2015-10-25,Second Class,PO-18865
CA-2017-169194,2017-06-20,2017-06-25,Standard Class,LH-16900
CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000
CA-2017-105816,2017-12-11,2017-12-17,Standard Class,JM-15265
CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055
CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720
US-2016-164175,2016-04-30,2016-05-05,Standard Class,PS-18970
CA-2015-106376,2015-12-05,2015-12-10,Standard Class,BS-11590
CA-2017-119823,2017-06-04,2017-06-06,First Class,KD-16270
CA-2017-106075,2017-09-18,2017-09-23,Standard Class,HM-14980
CA-2018-114440,2018-09-14,2018-09-17,Second Class,TB-21520
US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745
US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600
US-2015-147606,2015-11-26,2015-12-01,Second Class,JE-15745
CA-2017-127208,2017-06-12,2017-06-15,First Class,SC-20770
CA-2015-139451,2015-10-12,2015-10-16,Standard Class,DN-13690
CA-2016-149734,2016-09-03,2016-09-08,Standard Class,JC-16105
US-2018-119662,2018-11-13,2018-11-16,First Class,CS-12400
CA-2018-140088,2018-05-28,2018-05-30,Second Class,PO-18865
CA-2018-155558,2018-10-26,2018-11-02,Standard Class,PG-18895
CA-2017-159695,2017-04-05,2017-04-10,Second Class,GM-14455
CA-2017-109806,2017-09-17,2017-09-22,Standard Class,JS-15685
CA-2016-149587,2016-01-31,2016-02-05,Second Class,KB-16315
US-2018-109484,2018-11-06,2018-11-12,Standard Class,RB-19705
CA-2018-161018,2018-11-09,2018-11-11,Second Class,PN-18775
CA-2018-157833,2018-06-17,2018-06-20,First Class,KD-16345
CA-2017-149223,2017-09-06,2017-09-11,Standard Class,ER-13855
CA-2017-158568,2017-08-29,2017-09-02,Standard Class,RB-19465
CA-2017-129903,2017-12-01,2017-12-04,Second Class,GZ-14470
US-2016-156867,2016-11-13,2016-11-17,Standard Class,LC-16870
